no. nodes_block,stale block rate (simblock),mean propagation time,mean propagation time 50%,median propagation time,number of orphan (mine),total block propagation time,average block interval,blocktime std dev,difficulty std dev,Simulation type,,,,,,,,
9461594,1051,23818.2411,7094.3731,17385,2656,2.38E+08,72.960762,94,2.77E+14,,,,,,,,,
3386234,376,20287.5106,6608.9478,17399.5,863,2.03E+08,96.6728787,100,1.56E+14,,,,,,,,,
5053609,561,20811.3388,6731.9197,17045,1337,2.08E+08,79.8161396,95,2.18E+14,,,,,,,,,
3073349,341,20527.5279,6597.5174,17663,849,2.05E+08,99.4034308,104,1.45E+14,,,,,,,,,
10071535,1119,23608.5644,7158.3162,17062,2741,2.36E+08,68.4560917,98,2.85E+14,,,,,,,,,
3737903,415,20079.1953,6638.9077,16939.5,1051,2.01E+08,94.8531781,105,2.09E+14,,,,,,,,,
FOR TESTING (4000 block interval),,,,,,,,,,,,,,,,,,
1585046,176,19091.413,6449.6707,17078,434,1.91E+08,238.3702208,294,1.83E+15,,,,,,,,,
1692565,188,19088.5401,6438.6282,17091,444,1.91E+08,234.3298421,291,1.84E+15,,,,,,,,,
FOR TESTING (100 block interval),,,,,,,,,,,,,,,,,,
422414,46,16755.2046,5787.5526,16692,114,1.68E+08,619.6447696,674,9.22E+18,,,,,,,,,
454210,50,18410.3801,6346.9846,16799,127,1.84E+08,625.0210933,671,3.88E+15,,,,,,,,,
435021,48,17231.542,5899.3294,16824,123,1.72E+08,609.1992065,636,4.09E+18,,,,,,,,,
498538,55,18878.06213,6339.197496,17370,143,188780621.3,601.2261647,60223.4641,1.18E+17,,,,,,,,,
480561,53,18635.6615,6357.885,16991,113,1.86E+08,613.7651284,647,3.82E+15,,,,,,,,,
FOR TESTING (1000 block interval),,,,,,,,,,,,,,,,,,
842140,93,18836.9464,6386.9261,17075.5,220,1.88E+08,504.3762078,584,3.43E+15,,,,,,,,,
776274,86,18602.3051,6412.4595,17061.5,197,1.86E+08,501.6843415,576,3.22E+15,,,,,,,,,
FOR TESTING (1 block interval),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3430367,381,20541.7052,6605.1907,17476,971,2.05E+08,77.051347,75,103,,,,,,,,,
3887209,431,20159.0669,6612.4899,16943.5,1027,2.02E+08,78.3545071,76,103,,,,,,,,,
3892885,432,20368.414,6659.6872,17057.5,1026,2.04E+08,77.4660494,77,103,,,,,,,,,
FOR TESTING (2016 BLOCK INTERVAL),,,,,,,,,,,,,,,,,,
989631,109,18760.63608,6397.20365,16987,292,187606360.8,451.9473392,58413.97699,1.92E+17,,,,,,,,,
FORTESTING (10),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
378920,42,18530.7042,6354.318977,17115,113,185307042,748.373347,84797.2285,2.44E+17,,,,,,,,,
401710,44,18366.32653,6355.861504,16802,101,183663265.3,755.1161645,86115.86376,2.89E+17,,,,,,,,,
338750,37,18554.84208,6336.916852,17297.5,103,185548420.8,750.2803306,84582.14283,2.66E+17,,,,,,,,,
GA_WITH HASH RATE CHANGE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8077686,897,22940.85435,6987.359967,17225,2281,229408543.5,57.97926234,7993.410405,2.41E+16,,,,,,,,,
67284826,7476,4000151.59,7815.231644,9456.026939,24827,40001515904,19.17900254,4993.242377,2.20E+16,,,,,,,,,
18502518,2055,52138.50084,7677.531274,15453,5603,521385008.4,61.12136599,9118.76195,3.49E+16,,,,,,,,,
20616944,2290,51029.51458,7857.778449,15836,6182,510295145.8,45.57466877,7587.182883,2.85E+16,,,,,,,,,
4313235,479,20500.13776,6685.277307,17217.52516,1097,205001377.6,80.27415407,9017.335723,1.70E+16,,,,,,,,,
15073739,1674,29289.83526,7537.742262,17140.06863,4435,292898352.6,69.14841874,12187.65095,4.51E+16,,,,,,,,,
943587,104,18839.96802,6382.07041,17166,253,188399680.2,394.1350069,45309.09047,1.73E+17,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"BLOCK INTERVAL = 100s, DIFFICULTY = 100",,,,,,,,,,,,,,,,,,
2828384,314,19656.85775,6539.713297,17082,783,196568577.5,99.8699964,9317.363616,2.13E+16,,,,,,,,,
1155887,128,19625.12365,6558.107258,17123.5,306,78500494.58,98.29101288,5889.965787,7.06E+15,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"BLOCK INTERVAL = 10s, DIFFICULTY = 10",,,,,,,,,,,,,,,,,,
18293688,2032,64552.12937,10108.47661,16633.44321,5580,258208517.5,11.25360752,336.6571612,5.48E+14,,,,,,,,,
19099685,2122,73025.04247,10219.33188,16324,5778,292100169.9,11.23929159,340.3544361,5.54E+14,,,,,,,,,
19151133,2127,69586.09567,10244.3761,16630.45477,5926,278344382.7,11.22814452,329.4732922,5.60E+14,,,,,,,,,
18642125,2071,56032.98924,10158.52064,17640.1005,5619,224131957,11.2823241,341.3131368,5.47E+14,,,,,,,,,
